date,states,positive
20200414,56,602473
20200413,56,576774
20200412,56,551826
20200411,56,522843
20200410,56,493252
20200409,56,458635
20200408,56,424289
20200407,56,394156
20200406,56,363719
20200405,56,334967
20200404,56,308993
20200403,56,275457
20200402,56,243403
20200401,56,215329
20200331,56,190078
20200330,56,165597
20200329,56,144377
20200328,56,124884
20200327,56,105484
20200326,56,86811
20200325,56,69508
20200324,56,57224
20200323,56,47066
20200322,56,36391
20200321,56,27435
20200320,56,20908
20200319,56,15134
20200318,56,10939
20200317,56,8366
20200316,56,6182
20200315,51,4902
20200314,51,3846
20200313,51,3095
20200312,51,2221
20200311,51,1757
20200310,51,1365
20200309,51,1048
20200308,51,731
20200307,51,550
20200306,37,394
20200305,25,276
20200304,16,209
20200303,3,94
20200302,3,53
20200301,3,40
20200229,1,18
20200228,1,9
